CLASS_NAME,TAGS
Financial Statement Analysis,"Finance, Statistics, Analysis, Fee, Cost, Purchase"
Financial Accounting,"Finance, Statistics, Analysis, Fee, Cost, Purchase, Accounting, Report, Sheets, Excel, Money"
Managerial Accounting,"Management, Finance, Statistics, Analysis, Fee, Cost, Purchase, Sheets, Balance, Money"
Intermediate Accounting I,"Finance, Statistics, Analysis, Fee, Cost, Purchase, Sheets, Balance"
Intermediate Accounting II,"Finance, Statistics, Analysis, Fee, Cost, Purchase, Sheets, Balance, Money"
Accounting Theory and Practice,"Theory, Finance, Statistics, Practical, Analysis, Fee, Cost, Purchase, Sheets, Balance, Accounting, Money"
Cost Accounting,"Finance, Statistics, Analysis, Fee, Cost, Purchase, Sheets, Balance, Cost, Accounting, Money"
Accounting Systems,"Business, Management, Finance, Statistics, Analysis, Fee, Cost, Purchase, Sheets, Balance, Systems, Money"
Advanced Accounting,"Advanced, Finance, Statistics, Analysis, Fee, Cost, Purchase, Sheets, Balance, Advanced, Accounting, Money"
Auditing,"Tax, Finance, Statistics, Accounting, Auditing,  Analysis, Fee, Cost, Purchase, Sheets, Balance"
Tax I,"Tax Finance, Statistics, Analysis, Fee, Cost, Purchase, Sheets, Balance"
Tax II,"Tax, Finance, Statistics, Accounting, Auditing, Analysis, Fee, Cost, Purchase, Sheets, Balance"
Advanced Auditing,"Tax, Finance, Statistics, Accounting, Auditing, Analysis, Fee, Cost, Purchase, Sheets, Balance"
Religion and Culture,"Religion, Society, Humans, Community, Culture, HumanBehavior, WorldStudies, InternationalStudies, Children, FamilyStudies, Study, Behavior, WorldStudies"
Current Issues in Accounting,"Tax, Finance, Statistics, Accounting, Auditing,  Analysis, Fee, Cost, Purchase, Sheets, Balance"
Native Americans,"Religion, Society, Humans, Community, Culture, HumanBehavior, WorldStudies, InternationalStudies, Children, FamilyStudies, Study, Behavior, WorldStudies"
Elementary Arabic I & II,"Language, Culture, Society, Introductory, Elementary, LanguageStudy, WorldStudies, Arabic"
An Introduction to Archaeology,"History, Introductory, Archaeology, History, Artifacts, Culture"
American Culture I,"Language, Culture, Society, Introductory, Elementary, LanguageStudy, WorldStudies, America, AmericanStudies"
American Culture II,"Language, Culture, Society, Introductory, Elementary, LanguageStudy, WorldStudies, America, AmericanStudies"
Intermediate Arabic I & II,"Language, Culture, Society, Intermediate, LanguageStudy, WorldStudies, Arabic"
Arabic Cultures and Perspectives,"Language, Culture, Society, Arabic, WorldStudies, InternationalStudies, Community, Civilizations"
Three Dimensional Design,"Graphics, Technology, DigitalMedia, Design, ComputingTechnology, Media, Art"
Fundamentals of Art and Design,"Art, Design, Drawing, Media, Fundamentals, DigitalMedia, Creative "
Intermediate Painting,"Painting, Art, Design, Drawing, Media, Fundamentals, DigitalMedia, Creative "
Basic Sculpture,"Sculpting, Art, Design, Drawing, Media, Creative"
Drawing II: Media and Techniques,"Art, Design, Drawing, Media, Fundamentals, DigitalMedia, Creative, Painting"
Intermediate Sculpture,"Sculpting, Art, Design, Drawing, Media, Creative, Intermediate "
Basic Printmaking,"Painting, Art, Design, Drawing, Media, Fundamentals, DigitalMedia, Creative "
Basic Drawing,"Painting, Art, Design, Drawing, Media, Fundamentals, DigitalMedia, Creative "
Basic Painting,"Painting, Art, Design, Drawing, Media, Fundamentals, DigitalMedia, Creative "
Basic Photography,"Photography, Art, Design, Media, Fundamentals, DigitalMedia, Creative,Camera, Capture, Lens"
Digital Layout and Design,"Art, Design, Drawing, Media, Fundamentals, DigitalMedia, Creative, Graphics, DigitalDesign"
Figure Drawing,"Painting, Drawing, Media, Art, Design, Figures, Humans, Culture"
Introduction to Digital Media,"Media, Technology, Introductory, DigitalDesign, Media, DigitalMedia, ComputerGraphics, Art"
Digital Photography,"Photography, Art, Design, Media, Fundamentals, DigitalMedia, Creative,Camera, Capture, Lens, Techonology"
Digital Animation I,"Technology, Media, DigitalMedia, Media, ComputerGraphics, Graphics, Art, Animation, Moving, "
Intermediate Photography,"Photography, Art, Design, Media, Fundamentals, DigitalMedia, Creative,Camera, Capture, Lens, Techonology, Intermediate"
Advanced Painting I,"Painting, Art, Design, Drawing, Media, Fundamentals, Creative, Advanced"
Digital Painting,"Painting, Media, Technology, Art, Design, Drawing, Media, DigitalMedia, Creative, ComputerGraphics"
MultiMedia Authoring,"Media, Technology, DigitalDesign, Media, DigitalMedia, ComputerGraphics, Art"
Designing for the Web,"Technology, Design, Website, WebDesign, DigitalMedia, Media, Computers, Creativity"
Drawing III: Advanced Projects,"Painting, Advanced, Drawing, Art, Creativity, Media"
Advanced Photography,"Photography, Advanced, Media, Art, Creativity, Camera, Shot"
Digital Illustration,"Art, Design, Technology, DigialMedia, Creativity, ComputerGraphics, Media, Drawing"
Advanced Painting II,"Painting, Art, Design, Drawing, Media, Fundamentals, Creative, Advanced"
Advanced Drawing II,"Painting, Art, Design, Drawing, Media, Fundamentals, DigitalMedia, Creative "
Advanced Sculpture I,"Sculpting, Art, Design, Drawing, Media, Creative, Intermediate "
Advanced Sculpture II,"Sculpting, Art, Design, Drawing, Media, Creative, Intermediate "
MultiMedia Projects,"Art, Design"
interactive Website Design,"Technology, Design, Website, WebDesign, DigitalMedia, Media, Computers, Creativity"
Digital Animation III,"Art, Design, DigitalMedia, Animation, Creativity, Technology "
Senior Thesis: Portfolio,"Art, Project, Senior, Creativity, Design, Portfolio"
History of Western Art I,"Art, WorldStudies, History, WesternStudies"
History of Western Art II,"Art, WorldStudies, History, WesternStudies"
Pre-Columbian Art,"Art, WorldStudies, History, WesternStudies"
Chinese Art,"Art, World Studies, History, EaternStudies, AsianStudies, Society, Culture"
American Art,"Art, AmericanStudies, History, WesternStudies, Culture, Society"
History of Photography,"Art, History, Camera, Photography"
History of Costume,"Art, History, Fashion, Culture, WorldStudies"
Greek and Roman Art,"Art, WorldStudies, History, EaternStudies, Society, Culture"
Museum Studies,"Art, WorldStudies, History, Cutlure, EasternStudies Society, WesternStudies"
Contemporary Art,"Art, World Studies, History, Creativity, Society, Modern"
Medieval Art,"Art, WorldStudies, History, Creativity, Society, EasternStudies, Culture, Medieval "
Art & Technology,"Art, Technology, Creativity, DigitalMedia, ComputingTechnology"
Renaissance Art,"Art, WorldStudies, History, Renaissance, Creativity, Society, Culture, Humans "
Advanced Internship,"Advanced, Internship, History, Art"
Capping Course,"Capping, Senior, Art, Project, History"
Introduction to Athletic Training,"AthleticTraining, HumanBody, Physical,PhysicalEducation, Body, Sports, Athletics, WellBeing"
evaluations for the lower body.,"AthleticTraining, HumanBody, Physical,PhysicalEducation, Body, Sports, Athletics, WellBeing"
evaluations for the upper body.,"AthleticTraining, HumanBody, Physical,PhysicalEducation, Body, Sports, Athletics, WellBeing"
Athletic Training Internship,"AthleticTraining, HumanBody, Physical,PhysicalEducation, Body, Sports, Athletics, WellBeing"
Topics in Biology,"Biology, Introductory, Plants, Animals, Cells, Science, Life"
General Biology I,"Biology, Introductory, Plants, Animals, Cells, Science, Life"
General Biology II,"Biology, Introductory, Plants, Animals, Cells, Science, Life"
Human Anatomy and Physiology I,"Biology, HumanBody, Humans, Body, Physical,Anatomy, Life, BodilyFunctions"
Human Anatomy and Physiology II,"Biology, HumanBody, Humans, Body, Physical,Anatomy, Life, BodilyFunctions"
Human Nutrition,"Biology, HumanBody, Humans, Body, Physical,Anatomy, Life, BodilyFunctions, Nutrition, Food"
Microbiology,"Biology, Microbiology, Bacteria, Fungi, Viruses, Micro, Organisms, Life"
Plant Biology,"Biology, Environment, Plant, Cells, PlantCells, Life, Organisms, Food"
Immunology,"Biology, HumanBody, ImmuneSystem, BodilyFunctions, Body, Humans, Life, Viruses"
Genetics,"Biology, HumanBody, Forensics, Humans, DNA, BodilyFunctions, Natural"
Life on Earth,"Biology, Enviornment, Life, Cells, Animals, Plants, Humans, Natural, Organisms"
"Sex, Evolution and Behavior","Biology, HumanBody, Humans, HumanBehavior, Body, Physical,Anatomy, Life, BodilyFunctions"
Evolution,"Biology, HumanBody, Humans, Body, Physical, Anatomy, Life, Organisms, Evolution"
Human Biology,"Biology, HumanBody, Humans, Body, Physical, Anatomy, Life, BodilyFunctions"
Histology,"Biology, HumanBody, Humans, Body, Physical, Anatomy, Life, BodilyFunctions, Cells, Skin, Animals"
Animal Behavior,"Biology, Enviornment, Life, Cells, Animals, Natural, Organisms, Behavior"
FreshWater Ecology,"Biology, Enviornment, Life, Cells, Animals, Natural, Organisms, FreshWater, Water, Plants"
Ecology: Principles & Practice,"Biology, Introductory, Plants, Animals, Cells, Science, Life, Practical"
Special Topics in Biology I,"Biology, Introductory, Plants, Animals, Cells, Science, Life"
Special Topics in Biology II,"Biology, Introductory, Plants, Animals, Cells, Science, Life"
Special Topics in Biology III,"Biology, Introductory, Plants, Animals, Cells, Science, Life"
Invertebrate Zoology,"Biology, Introductory, Plants, Animals, Cells, Science, Life, Invertebrate, Zoo"
Plant Physiology,"Biology, Environment, Plant, Cells, PlantCells, Life, Organisms, Food"
Advanced Human Physiology,"Biology, HumanBody, Humans, Body, Physical, Anatomy, Life, BodilyFunctions"
BioTechnology,"Biology, Technology, Modern, Life, Organisms, DNA, Engineering, Medicine"
Developmental Biology,"Biology, Technology, Modern, Life, Organisms, DNA, Engineering, Medicine"
Parasitology,"Biology, Parasites, Sickness, Health, Life, Organisms, Disease, Animals, Plants"
Capping Course,"Biology, Science, Capping, Senior"
Molecular Biology,"Biology, Molecules, Plants, Animals, Cells, Cellstructure, DNA"
Organizational Behavior,"Biology, Behavior, Plants, Animals, Environment"
Biology Internship,"Biology, Internship, Science"
Financial Literacy,"Business, BusinessAdministration, Finance, Literacy, Money, Bills, Taxes, Life, Stocks, Investing, Mortgage, Savings, Job"
Global Business & Society,"Business, BusinessAdministration, Society, Global, International, WorldStudies"
Human Resource Management,"Business, BusinessAdministration, Humans, HumanResources, HumanBehavior, Conduct"
Financial Management,"Finance, Money, Taxes, Business, BusinessAdministration,Management, Wealth"
Marketing Principles,"Marketing, Finance, Principles, Advertising, Money, Sales, Business, BusinessAdministration"
Entrepreneurship,"Business, BusinessAdministration, Entrepreneurship, Money, Sales, Personal"
Business Law I,"Business, BusinessAdministration, Law, Corporate, People, Regulationss"
Business Law II,"Business, BusinessAdministration, Law, Corporate, People, Regulationss"
Investment Analysis,"Business, BusinessAdministration, Investing, Finance, Money, Stocks, Analysis, Bonds"
Operations Management,"Business, BusinessAdministration, Operations, Money, Excel, CashFlows, Taxes, SupplyAndDemand, OperationChain"
Corporate Finance,"Business, BusinessAdministration, Corporate, Finance, Money, CashFlows, Regulations"
Legal Foundation of Business,"Business, BusinessAdministration, Law, Corporate, People, Regulationss, People"
Investment Practicum: Equities,"Business, BusinessAdministration, Investing, Stocks, Practical, Equities, Bonds, Trading"
Labor Relations,"Business, BusinessAdministration, People, Work, Labor, Humans, Relationships"
Investment Practicum: Fixed Income,"Business, BusinessAdministration, Investing, Stocks, Practical, Equities, Bonds, Trading"
Compensation Administration,"Business, BusinessAdministration, Investing, Stocks, Practical, Equities, Bonds, Trading"
Employment and Development,"Business, BusinessAdministration, Labor, Employment, Humans, Workplace"
International Trade Management,"Business, BusinessAdministration, Investing, Stocks, Practical, Equities, Bonds, Trading, InternationalTrading"
Marketing Communications,"Marketing, Finance, Principles, Advertising, Money, Sales, Business, BusinessAdministration, Communications"
Marketing Policies & Problems,"Marketing, Finance, Principles, Advertising, Money, Sales, Business, BusinessAdministration"
Management Strategy and Policy,"Marketing, Finance, Principles, Advertising, Money, Sales, Business, BusinessAdministration"
Marketing Research,"Marketing, Finance, Principles, Advertising, Money, Sales, Business, BusinessAdministration"
International Marketing,"Marketing, Finance, Principles, Advertising, Money, Sales, Business, BusinessAdministration, International"
Employment Practicum,"Practical, Career, CareerDevelopment, Growth, Personal"
Principles of Organic Chemistry,"Chemistry, Elements, Energy, Atoms, Particles, Organic, Carbon, Reactions, Life"
Catholic Thought and Spirituality,"Religion, ReligiousStudies, CatholicStudies, Spirtuality, People, BeliefSystems"
Introduction to Chemistry,"Chemistry, Introductory, Elements, Energy, Atoms, Particles"
Computational Chemistry,"Chemistry, Elements, Energy, Atoms, Particles, Math, Equations"
Organic Chemistry I,"Chemistry, Elements, Energy, Atoms, Particles, Organic, Carbon, Reactions, Life"
Organic Chemistry II,"Chemistry, Elements, Energy, Atoms, Particles, Organic, Carbon, Reactions, Life"
Organic Chemistry Laboratory I,"Chemistry, Elements, Energy, Atoms, Particles, Organic, Carbon, Reactions, Life, Lab"
Organic Chemistry Laboratory II,"Chemistry, Elements, Energy, Atoms, Particles, Organic, Carbon, Reactions, Life, Lab"
Principles of Biochemistry,"Chemisty, Biology, Biochemistry, Principles, Life, Atoms, Organisms, Particles"
Environmental Chemistry Laboratory,"Chemistry, Lab, Environment, Organisms, Biochemistry"
Environmental Chemistry,"Chemistry, Environment, Organisms, Biochemistry"
Mechanics,"Chemistry, MechanicalChemistry, Structure, Particles"
