class_name,tags
FINANCIAL STATEMENT ANALYSIS,"FINANCE, STATISTICS, ANALYSIS, FEE, COST, PURCHASE"
FINANCIAL ACCOUNTING,"FINANCE, STATISTICS, ANALYSIS, FEE, COST, PURCHASE, ACCOUNTING, REPORT, SHEETS, EXCEL, MONEY"
MANAGERIAL ACCOUNTING,"MANAGEMENT, FINANCE, STATISTICS, ANALYSIS, FEE, COST, PURCHASE, SHEETS, BALANCE, MONEY"
INTERMEDIATE ACCOUNTING I,"FINANCE, STATISTICS, ANALYSIS, FEE, COST, PURCHASE, SHEETS, BALANCE"
INTERMEDIATE ACCOUNTING II,"FINANCE, STATISTICS, ANALYSIS, FEE, COST, PURCHASE, SHEETS, BALANCE, MONEY"
ACCOUNTING THEORY AND PRACTICE,"THEORY, FINANCE, STATISTICS, PRACTICAL, ANALYSIS, FEE, COST, PURCHASE, SHEETS, BALANCE, ACCOUNTING, MONEY"
COST ACCOUNTING,"FINANCE, STATISTICS, ANALYSIS, FEE, COST, PURCHASE, SHEETS, BALANCE, COST, ACCOUNTING, MONEY"
ACCOUNTING SYSTEMS,"BUSINESS, MANAGEMENT, FINANCE, STATISTICS, ANALYSIS, FEE, COST, PURCHASE, SHEETS, BALANCE, SYSTEMS, MONEY"
ADVANCED ACCOUNTING,"ADVANCED, FINANCE, STATISTICS, ANALYSIS, FEE, COST, PURCHASE, SHEETS, BALANCE, ADVANCED, ACCOUNTING, MONEY"
AUDITING,"TAX, FINANCE, STATISTICS, ACCOUNTING, AUDITING,  ANALYSIS, FEE, COST, PURCHASE, SHEETS, BALANCE"
TAX I,"TAX FINANCE, STATISTICS, ANALYSIS, FEE, COST, PURCHASE, SHEETS, BALANCE"
TAX II,"TAX, FINANCE, STATISTICS, ACCOUNTING, AUDITING, ANALYSIS, FEE, COST, PURCHASE, SHEETS, BALANCE"
ADVANCED AUDITING,"TAX, FINANCE, STATISTICS, ACCOUNTING, AUDITING, ANALYSIS, FEE, COST, PURCHASE, SHEETS, BALANCE"
RELIGION AND CULTURE,"RELIGION, SOCIETY, HUMANS, COMMUNITY, CULTURE, HUMANBEHAVIOR, WORLDSTUDIES, INTERNATIONALSTUDIES, CHILDREN, FAMILYSTUDIES, STUDY, BEHAVIOR, WORLDSTUDIES"
CURRENT ISSUES IN ACCOUNTING,"TAX, FINANCE, STATISTICS, ACCOUNTING, AUDITING,  ANALYSIS, FEE, COST, PURCHASE, SHEETS, BALANCE"
NATIVE AMERICANS,"RELIGION, SOCIETY, HUMANS, COMMUNITY, CULTURE, HUMANBEHAVIOR, WORLDSTUDIES, INTERNATIONALSTUDIES, CHILDREN, FAMILYSTUDIES, STUDY, BEHAVIOR, WORLDSTUDIES"
ELEMENTARY ARABIC I & II,"LANGUAGE, CULTURE, SOCIETY, INTRODUCTORY, ELEMENTARY, LANGUAGESTUDY, WORLDSTUDIES, ARABIC"
AN INTRODUCTION TO ARCHAEOLOGY,"HISTORY, INTRODUCTORY, ARCHAEOLOGY, HISTORY, ARTIFACTS, CULTURE"
AMERICAN CULTURE I,"LANGUAGE, CULTURE, SOCIETY, INTRODUCTORY, ELEMENTARY, LANGUAGESTUDY, WORLDSTUDIES, AMERICA, AMERICANSTUDIES"
AMERICAN CULTURE II,"LANGUAGE, CULTURE, SOCIETY, INTRODUCTORY, ELEMENTARY, LANGUAGESTUDY, WORLDSTUDIES, AMERICA, AMERICANSTUDIES"
INTERMEDIATE ARABIC I & II,"LANGUAGE, CULTURE, SOCIETY, INTERMEDIATE, LANGUAGESTUDY, WORLDSTUDIES, ARABIC"
ARABIC CULTURES AND PERSPECTIVES,"LANGUAGE, CULTURE, SOCIETY, ARABIC, WORLDSTUDIES, INTERNATIONALSTUDIES, COMMUNITY, CIVILIZATIONS"
THREE DIMENSIONAL DESIGN,"GRAPHICS, TECHNOLOGY, DIGITALMEDIA, DESIGN, COMPUTINGTECHNOLOGY, MEDIA, ART"
FUNDAMENTALS OF ART AND DESIGN,"ART, DESIGN, DRAWING, MEDIA, FUNDAMENTALS, DIGITALMEDIA, CREATIVE "
INTERMEDIATE PAINTING,"PAINTING, ART, DESIGN, DRAWING, MEDIA, FUNDAMENTALS, DIGITALMEDIA, CREATIVE "
BASIC SCULPTURE,"SCULPTING, ART, DESIGN, DRAWING, MEDIA, CREATIVE"
DRAWING II: MEDIA AND TECHNIQUES,"ART, DESIGN, DRAWING, MEDIA, FUNDAMENTALS, DIGITALMEDIA, CREATIVE, PAINTING"
INTERMEDIATE SCULPTURE,"SCULPTING, ART, DESIGN, DRAWING, MEDIA, CREATIVE, INTERMEDIATE "
BASIC PRINTMAKING,"PAINTING, ART, DESIGN, DRAWING, MEDIA, FUNDAMENTALS, DIGITALMEDIA, CREATIVE "
BASIC DRAWING,"PAINTING, ART, DESIGN, DRAWING, MEDIA, FUNDAMENTALS, DIGITALMEDIA, CREATIVE "
BASIC PAINTING,"PAINTING, ART, DESIGN, DRAWING, MEDIA, FUNDAMENTALS, DIGITALMEDIA, CREATIVE "
BASIC PHOTOGRAPHY,"PHOTOGRAPHY, ART, DESIGN, MEDIA, FUNDAMENTALS, DIGITALMEDIA, CREATIVE,CAMERA, CAPTURE, LENS"
DIGITAL LAYOUT AND DESIGN,"ART, DESIGN, DRAWING, MEDIA, FUNDAMENTALS, DIGITALMEDIA, CREATIVE, GRAPHICS, DIGITALDESIGN"
FIGURE DRAWING,"PAINTING, DRAWING, MEDIA, ART, DESIGN, FIGURES, HUMANS, CULTURE"
INTRODUCTION TO DIGITAL MEDIA,"MEDIA, TECHNOLOGY, INTRODUCTORY, DIGITALDESIGN, MEDIA, DIGITALMEDIA, COMPUTERGRAPHICS, ART"
DIGITAL PHOTOGRAPHY,"PHOTOGRAPHY, ART, DESIGN, MEDIA, FUNDAMENTALS, DIGITALMEDIA, CREATIVE,CAMERA, CAPTURE, LENS, TECHONOLOGY"
DIGITAL ANIMATION I,"TECHNOLOGY, MEDIA, DIGITALMEDIA, MEDIA, COMPUTERGRAPHICS, GRAPHICS, ART, ANIMATION, MOVING, "
INTERMEDIATE PHOTOGRAPHY,"PHOTOGRAPHY, ART, DESIGN, MEDIA, FUNDAMENTALS, DIGITALMEDIA, CREATIVE,CAMERA, CAPTURE, LENS, TECHONOLOGY, INTERMEDIATE"
ADVANCED PAINTING I,"PAINTING, ART, DESIGN, DRAWING, MEDIA, FUNDAMENTALS, CREATIVE, ADVANCED"
DIGITAL PAINTING,"PAINTING, MEDIA, TECHNOLOGY, ART, DESIGN, DRAWING, MEDIA, DIGITALMEDIA, CREATIVE, COMPUTERGRAPHICS"
MULTIMEDIA AUTHORING,"MEDIA, TECHNOLOGY, DIGITALDESIGN, MEDIA, DIGITALMEDIA, COMPUTERGRAPHICS, ART"
DESIGNING FOR THE WEB,"TECHNOLOGY, DESIGN, WEBSITE, WEBDESIGN, DIGITALMEDIA, MEDIA, COMPUTERS, CREATIVITY"
DRAWING III: ADVANCED PROJECTS,"PAINTING, ADVANCED, DRAWING, ART, CREATIVITY, MEDIA"
ADVANCED PHOTOGRAPHY,"PHOTOGRAPHY, ADVANCED, MEDIA, ART, CREATIVITY, CAMERA, SHOT"
DIGITAL ILLUSTRATION,"ART, DESIGN, TECHNOLOGY, DIGIALMEDIA, CREATIVITY, COMPUTERGRAPHICS, MEDIA, DRAWING"
ADVANCED PAINTING II,"PAINTING, ART, DESIGN, DRAWING, MEDIA, FUNDAMENTALS, CREATIVE, ADVANCED"
ADVANCED DRAWING II,"PAINTING, ART, DESIGN, DRAWING, MEDIA, FUNDAMENTALS, DIGITALMEDIA, CREATIVE "
ADVANCED SCULPTURE I,"SCULPTING, ART, DESIGN, DRAWING, MEDIA, CREATIVE, INTERMEDIATE "
ADVANCED SCULPTURE II,"SCULPTING, ART, DESIGN, DRAWING, MEDIA, CREATIVE, INTERMEDIATE "
MULTIMEDIA PROJECTS,"ART, DESIGN"
INTERACTIVE WEBSITE DESIGN,"TECHNOLOGY, DESIGN, WEBSITE, WEBDESIGN, DIGITALMEDIA, MEDIA, COMPUTERS, CREATIVITY"
DIGITAL ANIMATION III,"ART, DESIGN, DIGITALMEDIA, ANIMATION, CREATIVITY, TECHNOLOGY "
SENIOR THESIS: PORTFOLIO,"ART, PROJECT, SENIOR, CREATIVITY, DESIGN, PORTFOLIO"
HISTORY OF WESTERN ART I,"ART, WORLDSTUDIES, HISTORY, WESTERNSTUDIES"
HISTORY OF WESTERN ART II,"ART, WORLDSTUDIES, HISTORY, WESTERNSTUDIES"
PRE-COLUMBIAN ART,"ART, WORLDSTUDIES, HISTORY, WESTERNSTUDIES"
CHINESE ART,"ART, WORLD STUDIES, HISTORY, EATERNSTUDIES, ASIANSTUDIES, SOCIETY, CULTURE"
AMERICAN ART,"ART, AMERICANSTUDIES, HISTORY, WESTERNSTUDIES, CULTURE, SOCIETY"
HISTORY OF PHOTOGRAPHY,"ART, HISTORY, CAMERA, PHOTOGRAPHY"
HISTORY OF COSTUME,"ART, HISTORY, FASHION, CULTURE, WORLDSTUDIES"
GREEK AND ROMAN ART,"ART, WORLDSTUDIES, HISTORY, EATERNSTUDIES, SOCIETY, CULTURE"
MUSEUM STUDIES,"ART, WORLDSTUDIES, HISTORY, CUTLURE, EASTERNSTUDIES SOCIETY, WESTERNSTUDIES"
CONTEMPORARY ART,"ART, WORLD STUDIES, HISTORY, CREATIVITY, SOCIETY, MODERN"
MEDIEVAL ART,"ART, WORLDSTUDIES, HISTORY, CREATIVITY, SOCIETY, EASTERNSTUDIES, CULTURE, MEDIEVAL "
ART & TECHNOLOGY,"ART, TECHNOLOGY, CREATIVITY, DIGITALMEDIA, COMPUTINGTECHNOLOGY"
RENAISSANCE ART,"ART, WORLDSTUDIES, HISTORY, RENAISSANCE, CREATIVITY, SOCIETY, CULTURE, HUMANS "
ADVANCED INTERNSHIP,"ADVANCED, INTERNSHIP, HISTORY, ART"
CAPPING COURSE,"CAPPING, SENIOR, ART, PROJECT, HISTORY"
INTRODUCTION TO ATHLETIC TRAINING,"ATHLETICTRAINING, HUMANBODY, PHYSICAL,PHYSICALEDUCATION, BODY, SPORTS, ATHLETICS, WELLBEING"
EVALUATIONS FOR THE LOWER BODY.,"ATHLETICTRAINING, HUMANBODY, PHYSICAL,PHYSICALEDUCATION, BODY, SPORTS, ATHLETICS, WELLBEING"
EVALUATIONS FOR THE UPPER BODY.,"ATHLETICTRAINING, HUMANBODY, PHYSICAL,PHYSICALEDUCATION, BODY, SPORTS, ATHLETICS, WELLBEING"
ATHLETIC TRAINING INTERNSHIP,"ATHLETICTRAINING, HUMANBODY, PHYSICAL,PHYSICALEDUCATION, BODY, SPORTS, ATHLETICS, WELLBEING"
TOPICS IN BIOLOGY,"BIOLOGY, INTRODUCTORY, PLANTS, ANIMALS, CELLS, SCIENCE, LIFE"
GENERAL BIOLOGY I,"BIOLOGY, INTRODUCTORY, PLANTS, ANIMALS, CELLS, SCIENCE, LIFE"
GENERAL BIOLOGY II,"BIOLOGY, INTRODUCTORY, PLANTS, ANIMALS, CELLS, SCIENCE, LIFE"
HUMAN ANATOMY AND PHYSIOLOGY I,"BIOLOGY, HUMANBODY, HUMANS, BODY, PHYSICAL,ANATOMY, LIFE, BODILYFUNCTIONS"
HUMAN ANATOMY AND PHYSIOLOGY II,"BIOLOGY, HUMANBODY, HUMANS, BODY, PHYSICAL,ANATOMY, LIFE, BODILYFUNCTIONS"
HUMAN NUTRITION,"BIOLOGY, HUMANBODY, HUMANS, BODY, PHYSICAL,ANATOMY, LIFE, BODILYFUNCTIONS, NUTRITION, FOOD"
MICROBIOLOGY,"BIOLOGY, MICROBIOLOGY, BACTERIA, FUNGI, VIRUSES, MICRO, ORGANISMS, LIFE"
PLANT BIOLOGY,"BIOLOGY, ENVIRONMENT, PLANT, CELLS, PLANTCELLS, LIFE, ORGANISMS, FOOD"
IMMUNOLOGY,"BIOLOGY, HUMANBODY, IMMUNESYSTEM, BODILYFUNCTIONS, BODY, HUMANS, LIFE, VIRUSES"
GENETICS,"BIOLOGY, HUMANBODY, FORENSICS, HUMANS, DNA, BODILYFUNCTIONS, NATURAL"
LIFE ON EARTH,"BIOLOGY, ENVIORNMENT, LIFE, CELLS, ANIMALS, PLANTS, HUMANS, NATURAL, ORGANISMS"
"SEX, EVOLUTION AND BEHAVIOR","BIOLOGY, HUMANBODY, HUMANS, HUMANBEHAVIOR, BODY, PHYSICAL,ANATOMY, LIFE, BODILYFUNCTIONS"
EVOLUTION,"BIOLOGY, HUMANBODY, HUMANS, BODY, PHYSICAL, ANATOMY, LIFE, ORGANISMS, EVOLUTION"
HUMAN BIOLOGY,"BIOLOGY, HUMANBODY, HUMANS, BODY, PHYSICAL, ANATOMY, LIFE, BODILYFUNCTIONS"
